komentar,kantor,letak,rating,sentimen,komentar_clean
"melihat ulasan sebelumnya jadi mikir. tapi setelah mencoba sendiri, pelayanan bagus. mungkin karena banyaknya masukan jadi pelayanan ditingkatkan. bisa boking online dulu pilih hari dan jam di maybankfinance.co.id. menungu sekitar setengah jam, bpkb sudah diserahkan dan selesai.",Maybank Finance Surabaya,Kota Surabaya,5,positif,"ulasan mikir. mencoba sendiri, pelayanan bagus. banyaknya masukan pelayanan ditingkatkan. boking online pilih jam maybankfinance.co.id. menungu jam, bpkb diserahkan selesai."
pelayanan ramah mulai dari security sampai dengan petugas pengambilan dokumen dg pak anton. cepat.,Maybank Finance Surabaya,Kota Surabaya,5,positif,pelayanan ramah security petugas pengambilan dokumen dg anton. cepat.
pelayanany ramah dan cepat. sya ambil dokumen estimasi waktu jam. trnyata jaman sdh selesai. terima kasih pak anton,Maybank Finance Surabaya,Kota Surabaya,5,positif,pelayanany ramah cepat. sya ambil dokumen estimasi jam. trnyata jaman sdh selesai. terima kasih anton
"kak saya mau kpr di maybank, bisa dibantu kontak markertingnya kak. posisi medan kak",Maybank Diponegoro Medan,Kota Medan,5,positif,"kak kpr maybank, dibantu kontak markertingnya kak. posisi medan kak"
kak eva. pelayananya terbaik.sabar menghadapi aplikasi yang sering eror.,Maybank Diponegoro Medan,Kota Medan,5,positif,kak eva. pelayananya terbaik.sabar menghadapi aplikasi eror.
nice,Maybank Diponegoro Medan,Kota Medan,4,positif,nice
pelayananya ramah dan cepat.,Maybank Diponegoro Medan,Kota Medan,5,positif,pelayananya ramah cepat.
"setau saya ini kantor pusat maybank untuk wilayah medan. pelayanan di sini cepat dan ramah. beberapa kali cairkan cek disini aman aman saja tanpa ada kendala dan masalah, yang terpenting cepat.",Maybank Diponegoro Medan,Kota Medan,4,positif,"setau kantor pusat maybank wilayah medan. pelayanan cepat ramah. kali cairkan cek aman aman kendala masalah, terpenting cepat."
"the bank just beside sun plaza n agung mosque,",Maybank Diponegoro Medan,Kota Medan,5,positif,"bank beside sun plaza n agung mosque,"
maybank terbaik,Maybank Diponegoro Medan,Kota Medan,5,positif,maybank terbaik
mantap,Maybank Diponegoro Medan,Kota Medan,5,positif,mantap
bagus,Maybank KC & Premier Palang Merah Medan,Kota Medan,5,positif,bagus
big maybank in medan.,Maybank KC & Premier Palang Merah Medan,Kota Medan,5,positif,big maybank medan.
pelayananya good,Maybank KCP Brigjen Katamso,Kota Medan,5,positif,pelayananya good
untuk penarikan tunai,Maybank KCP Harapan Indah,Kota Bekasi,5,positif,penarikan tunai
"titik bank maybank tidak akurat, tidak berada di lokasi ini",Maybank KCP Harapan Indah,Kota Bekasi,5,positif,"titik bank maybank akurat, lokasi"
pelayanan sangat baik,Maybank KCP Krakatau,Kota Medan,5,positif,pelayanan
"pelayanan ramah dari satpam, customer service maupun teler",Maybank KCP Krakatau,Kota Medan,5,positif,"pelayanan ramah satpam, customer service teler"
bagus sangat ramah tempst nyaman,Maybank KCP Pulo Brayan,Kota Medan,5,positif,bagus ramah tempst nyaman
